What is your Vassal handle?,What is your Discord name (User#0000)?,Paste your new YASB Squad link here:,
Squishee,SquisheeBall#4102,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z48XWW54WW165WY18X136W238WWWWWWY52XWWY80X115W135WW88WW&sn=Calen%20Wong%20JTO&obs=,
kken,kken #3132,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z235XWWY284XW178W135WY283XWWWY262XW186W&sn=Ken%20Cho%20JTO&obs=,
Moof Milker,Moof Milker,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X127WWW249Y255XWW175W177WWY245X133WWWWW92WW193Y388XWW178&sn=Jeff%20Borrowman%20JTO&obs=,
Dankoo719,Dankoo#0396,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z321XWY322X132WW214W134Y313X72W241W200WY278X72W6WW105&sn=Bill%20Herbert%20JTO&obs=,
steffen,lydhvin#9268,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z161X132W112W136W102W106W144WY185X54WW166Y199X119WW82W&sn=Steffen%20Lydvo%20JTO&obs=vt49decimatordebris0,vt49decimatordebris1,vt49decimatordebris2",
The Eagle,The Eagle,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z181XWWY205X128WW102WWW68WW105Y167XW232W60WWW162Y218X119W&sn=The%20Eagle%20(Arnar)%20JTO&obs=,
DamianR,DamianR #8429,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z2XW234WW109W142Y54X122WWY70XW46WWW167Y5XWWWW142&sn=Damian%20Robinson%20JTO&obs=core2asteroid0,core2asteroid3,core2asteroid5",
Khaaannn,foodmonster1#8716,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z359XWW135WW214WWY275XWW200WY312XWWW166Y316XWW&sn=Akhter%20Khan%20JTO&obs=,
Frosticle,Frosticle#0338,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386XWWY285XWW101WWWY383XWWWY243XWWWWW165&sn=Will%20Frost%20JTO&obs=,
Adam North Wales,buffangel5#9664,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z166XW232W29WWW162Y182XWY173X72WWWY187XWWWWW&sn=Adam%20Shipley%20JTO&obs=,
yesslap,notslap#7780,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z295XWWWWWWY246XW311WWWWWWY345XW206WWY301XW101W&sn=funwok%20JTO&obs=,
dsul413,dsul413 #7711,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z384XW318W102WY233XW177W108Y285XWWWWW165Y397XWWW182WW&sn=Daniel%20Sullivan%20JTO&obs=,
Nathan Skelly,Roundy #7077,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z194X123WW12W102Y220XWY187XW137W100WWWY222XW&sn=Nathan%20Skelly%20JTO&obs=,
tycho1707,tycho1707,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z152XWWW54W32WW94W106WY114XW71WWWW156Y304XY138XW232&sn=Brandon%20Carey%20JTO&obs=,
Timanseb,Timanseb#0699,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z351XW206WW136WWW205W247Y300XWWW186Y252XWWW175WW171WY379XW191WWWW&sn=Timanseb%20JTO&obs=,
Nate,Handy-Eye-Candy#5392,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z17X135WWWW46WWWY21X126WWW3WY34X127W240W314WWW140W&sn=Nate%20Handy%20JTO&obs=yt2400debris1,core2asteroid3,gascloud2",
Doug.h,Doug#7350,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386X186W136WY382X132W186W311WY385X132WW99W86W240W&sn=Doug%20Howe%20JTO&obs=,
dbldown11,doubledown#5317,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z191X113W135WWWW317WW165Y162XW240W234WWW144WY197XW112W12W&sn=Marc%20de%20Bruyn%20JTO&obs=,
[SEL]Brut,[SEL]Brut#1170,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z278X199WWW108Y274XWW200WY366XWW135WWW69WY332XWWW&sn=Jean-Francois%20G%20JTO&obs=,
FOXHOUND,FOXHOUND,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z385XWWW182WW108Y285XW206WWWWY233X124W177WY286X178WW&sn=Sam%20Dameron%20JTO&obs=,
Taloncor,Taloncor#5055,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z383XWW99WY285XWW101W88WWY382X115WWWY242XWWW76WW&sn=Arne%20Ka%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
Christopher Patrick,Chrispy#9179,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z259X318WWW113WY397XWWW182WWY382X125W206WWY384X115WWW&sn=Christopher%20Patrick%20JTO&obs=,
epyonic,dleon user#8505,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z204X133WW98WWWWWY180XW249W108Y395XWW70WY203XW136W311WWWWW106&sn=Janks%20a%20Ton&obs=coreasteroid5,yt2400debris2,core2asteroid5",
viedit,viedit#0883,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z113XW45WWWW105W156Y146X138WWW70WWW149W240WY154XWW98W22WW80WWW&sn=Josh%27s%20Dace%20of%20Legend&obs=,
Samuel Melhado,Samuel Melhado#5464,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z17XW97WWW40W316WW110Y41XW88WW110WW93Y69XWWW4W167&sn=Samuel%20Melhado%20JTO&obs=,
Tsukuda Joe,Tsukuda_Joe (#9921),https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z127XW66WWWW160Y111XWWWWY114XWWWWWY111X240WWWWY96X&sn=Joe%20Congdon%20JTO&obs=,
