name,wins,byes,rank,faction,points,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,handicap,avginitiative,url
Dale Bennion,0,0,512,resistance,198,27,9,7,13,1,1,4,3,3.0,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z346X178WWW59W61WW108Y378X256WW312W92WWW315Y299XWWW175W206W171WY380XW6W93WWW&sn=thesnailmaster%20JTO&obs=
Jeff Borrowman,0,0,512,resistance,197,26,10,8,8,1,3,4,6,3.0,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z345X127WWW249Y255XWW175W178WWY245X133WWWWW92WW193Y388XWW178&sn=Jeff%20Borrowman%20JTO&obs=
Damian Robinson,0,0,512,rebelalliance,199,21,10,8,7,0,0,4,1,4.25,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z2XW234WW109W142Y54X122WWY70XW46WWW167Y5XWWWW142&sn=Damian%20Robinson%20JTO&obs=core2asteroid0,core2asteroid3,core2asteroid5"
Andrew Lippens,0,0,512,rebelalliance,198,22,8,7,6,0,0,3,2,4.333333333333333,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z43XW102WW23W52W110W166W154Y14XWY21XWWWW&sn=Lando%20and%20the%20Boys&obs=
Fengel,0,0,512,galacticempire,200,24,10,9,5,0,0,4,0,3.25,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z170X74WWY180XWWY204XWW98WWWWWY168XWW27WW165W162&sn=Frank%20Fengel%20JTO&obs=
Ellen Ce,0,0,512,scumandvillainy,198,25,11,10,6,0,0,5,2,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z102XY85XW138WWW5WWW105Y156XWWWY142X206WW317WW105Y158XWWW&sn=Random%20Squad&obs=
Merrick Kemp,0,0,512,galacticempire,199,28,10,6,9,2,6,4,7,2.5,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z162X126W114W135WW108W144WY186X49WWY183XWWWY188X256W138W102WWW&sn=Merrick%20Kemp%20JTO&obs=
Chris Donahue,0,0,512,firstorder,198,19,9,11,8,0,0,4,2,3.75,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z381X117W186WW165Y397X133W178W99W86W112WY235XWWY268XW&sn=cmoney%20JTO&obs=gascloud4,gascloud5,gascloud6"
RoelBesters,0,0,512,firstorder,198,22,9,7,6,0,0,3,2,3.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z236X204W206W135W311Y282XWW183WWW10WWY290XW&sn=Random%20Squad&obs
Tad Wesley,0,0,512,rebelalliance,200,19,7,5,14,1,3,3,3,2.6666666666666665,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z0X93W136W2W249W142Y18X135W100WW77W54W70W316WY55X130W99W166&sn=Tad%20Wesley%20-%20Jank%20Tank%20Open&obs=
Ben Pappas,0,0,512,rebelalliance,198,19,9,6,11,1,3,3,5,3.0,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z76X240WWW134W249W313Y22XW113W136W5W165Y66X118W46WW138W&sn=Ben%20Pappas%20JTO&obs=coreasteroid5,core2asteroid1,core2asteroid3"
AaronChambers,0,0,512,scumandvillainy,200,28,9,5,10,0,0,3,0,3.6666666666666665,
