listid,faction,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,avginitiative,yasb
balindamood#2,resistance,26,9,7,12,2,7,4,1.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z380X101W5W91WWW315Y291XW206W30W76W90W235WWY348XW243W249Y350XWWW106&sn=Random%20Squad&obs=
Basscor#1,firstorder,22,8,6,15,1,1,3,2.6666666666666665,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z281X177W186W179W180W53W232W113WY267X116W186W236Y242X131WW99W86W240W109&sn=Random%20Squad&obs=
Basscor#2,galacticrepublic,20,8,8,6,0,0,4,3.0,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z332X119W113W252W234Y323XWWY330XW213W234Y333XWWW&sn=Random%20Squad&obs=
battlestarbill#1,galacticempire,19,11,14,4,0,0,5,3.8,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z180XW249WY171XWWY170X73W114W101Y224XWY187XWWWWW&sn=Random%20Squad&obs=
battlestarbill#2,firstorder,22,10,7,8,0,0,3,3.6666666666666665,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z251X202WW179W53W30W10WWY384X125WW100W105Y284XWWW&sn=Random%20Squad&obs=
BazAvJoes#1,galacticempire,30,10,10,8,0,0,5,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z189XWWW102WWY161X116WW135WWWY189X115WW101WWW166Y163XW240WW102WWY206XWWWWWW&sn=Random%20Squad&obs=
BazAvJoes#2,rebelalliance,26,8,4,7,0,0,3,3.6666666666666665,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z393XWW76W51W54W165WWY27XW138WW0WWW90Y68XWWW&sn=Random%20Squad&obs=
Beattie#1,scumandvillainy,31,10,6,4,0,0,4,3.25,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z152XWW102WWW79WW106WY87XWWWWWW94WY114XWWWWWY119XWWWWW&sn=Random%20Squad&obs=
Beattie#2,rebelalliance,33,12,7,4,0,0,5,3.4,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z29XWWWW164WWY25XWWW0WWWY68XWW137WY26XWWWWW70WY67XWWWW&sn=Random%20Squad&obs=
Beautifulleif#1,rebelalliance,23,11,8,9,1,1,4,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z12XW122WWW164W142Y73X124WWW12W135WW313Y67X73WW166WWY53XW&sn=Random%20Squad&obs=
Beautifulleif#2,galacticrepublic,24,10,8,2,0,0,4,3.5,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z312XWW201WY277XWWWY280XW54WWWY331XWWW&sn=Random%20Squad&obs=
Ben#1,galacticempire,26,10,8,10,0,0,4,2.5,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z213XW69W166Y163XW114W234WWWY177XW240W98WY167XW232WW38W106W162&sn=Random%20Squad&obs=
Ben#2,rebelalliance,32,9,3,2,0,0,3,4.666666666666667,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z46X124W70WWWWY61XWWWWWWWWY44XWWWWWWW&sn=Random%20Squad&obs=
Ben Doyle#1,rebelalliance,23,8,8,7,1,1,4,3.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z70X203W32W166WWY18XWWWWWWW108Y46X123W68WW105WWY51XWW&sn=Random%20Squad&obs=
Ben Doyle#2,firstorder,30,11,5,6,0,0,3,1.3333333333333333,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z281X186WWWWWWW106Y286X177W234WY288XW206WWW183WWW&sn=Random%20Squad&obs=
Ben Worth#1,galacticempire,21,10,9,7,1,1,4,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z212X119W88W71W108Y190XWW102WW166Y194XWWWY189XW138WWWW&sn=Random%20Squad&obs=
Ben Worth#2,rebelalliance,29,9,5,5,1,2,4,3.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z55XWWY17XWWWWW235WWY26X131WWWW105WW88Y59XWW19W&sn=Random%20Squad&obs=
Benjamin#1,rebelalliance,26,10,5,8,0,0,3,2.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z24X113W135W6WY63XWW138W44W19WW77WY1XWWW142&sn=Random%20Squad&obs=
Benjamin#2,separatistalliance,20,13,13,4,0,0,5,2.8,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z357XWY355X124WY324X234W98WWW237Y354XWY337XWW&sn=Random%20Squad&obs=
bevicadarn#1,resistance,28,9,7,9,2,1,4,3.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X123W99W195WW236WW315Y380XW6WW165WWY244XWW37WWWWW193Y345XWWW&sn=Random%20Squad&obs=
bevicadarn#2,galacticempire,20,8,10,6,0,0,4,3.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z176X114W100W166Y173XW240WWY188XW137WWW86WY187XWWWWW&sn=Random%20Squad&obs=
